line	year	accession	stock	plot	sfw	rfw	dmc	tfw	trdm	hi	rs_ratio	row	col	rep	line_num
C2.8_ETH4261	2022	C2-8	C2-8	5028	8.02	8.8	30.66666667	16.82	2.698666667	0.523186683	1.097256858	36	10	1	4261
C2.8_ETH4261	2022	C2-8	C2-8	6070	4.61	4.98	32.44660194	9.59	1.615840777	0.519290928	1.080260304	39	13	2	4261
C2.8_ETH4261	2022	C2-8	C2-8	7043	5.53	6.02	32.34285714	11.55	1.94704	0.521212121	1.088607595	47	14	3	4261
C2.8_ETH4261	2022	C2-8	C2-8	8096	8.15	4.59	27.38613861	12.74	1.257023762	0.360282575	0.563190184	17	17	4	4261
C2.8_ETH4261	2022	C2-8	C2-8	9024	5	4.73	30.85211268	9.73	1.45930493	0.486125385	0.946	24	18	5	4261
C2.8_ETH4261	2022	C2-8	C2-8	10008	4.24	4.19	31.41176471	8.43	1.316152941	0.497034401	0.988207547	6	20	6	4261
C2.8_ETH4261	2022	C2-8	C2-8	11018	7.21	5.81	23.65934066	13.02	1.374607692	0.446236559	0.805825243	14	22	7	4261
C2.8_ETH4261	2022	C2-8	C2-8	12052	6.31	6.12	21.60194175	12.43	1.322038835	0.4923572	0.969889065	46	24	8	4261
C2.8_ETH4261	2022	C2-8	C2-8	13064	4.02	3.09	31.72043011	7.11	0.98016129	0.434599156	0.768656716	56	27	9	4261
C2.8_ETH4261	2022	C2-8	C2-8	14098	4.22	3.53	28.23076923	7.75	0.996546154	0.455483871	0.836492891	17	29	10	4261
C2.8_ETH4261	2023	C2-8	C2-8	641	4.53	5.844	37.27272727	10.374	2.178218182	0.563331405	1.290066225	24	2	1	4261
C2.8_ETH4261	2023	C2-8	C2-8	655	3.91	6.216	35.41666667	10.126	2.2015	0.613865297	1.589769821	17	3	2	4261
C2.8_ETH4261	2023	C2-8	C2-8	703	3.96	5.622	38.21138211	9.582	2.148243902	0.58672511	1.41969697	50	4	3	4261
C2.8_ETH4261	2023	C2-8	C2-8	821	9.25	4.572	28.18181818	13.822	1.288472727	0.330777022	0.49427027	20	6	4	4261
C2.8_ETH4261	2023	C2-8	C2-8	1060	6.82	0.446	20	7.266	0.0892	0.061381778	0.065395894	45	12	5	4261
C2.8_ETH4261	2023	C2-8	C2-8	1181	4.69	5.098	31.96721311	9.788	1.629688525	0.520841847	1.086993603	15	15	6	4261
C2.8_ETH4261	2023	C2-8	C2-8	1220	0.3	2.83	31.95876289	3.13	0.90443299	0.904153355	9.433333333	54	15	7	4261
C2.8_ETH4261	2023	C2-8	C2-8	1234	4.96	6.62	40.7079646	11.58	2.694867257	0.571675302	1.334677419	47	16	8	4261
C2.8_ETH4261	2023	C2-8	C2-8	1252	3.23	4.472	34.95145631	7.702	1.563029126	0.580628408	1.384520124	29	16	9	4261
C2.8_ETH4261	2023	C2-8	C2-8	1274	5.71	6.236	33.68421053	11.946	2.100547368	0.522015737	1.092119089	20	17	10	4261
C2.8_ETH4261	2023	C2-8	C2-8	1374	5.42	3.212	37.73584906	8.632	1.212075472	0.3721038	0.592619926	32	19	11	4261
C2.8_ETH4261	2023	C2-8	C2-8	1421	1.58	3.238	37.60683761	4.818	1.217709402	0.672063097	2.049367089	36	20	12	4261
C2.8_ETH4261	2023	C2-8	C2-8	1422	4.36	5.928	34.28571429	10.288	2.032457143	0.576205288	1.359633028	35	20	13	4261
C2.8_ETH4261	2023	C2-8	C2-8	1454	11.93	4.736	32.38095238	16.666	1.533561905	0.284171367	0.396982397	24	21	14	4261
C2.8_ETH4261	2023	C2-8	C2-8	1647	3.6	1.904	36.60714286	5.504	0.697	0.345930233	0.528888889	41	25	15	4261
C2.8_ETH4261	2023	C2-8	C2-8	1726	4.76	5.908	28.15533981	10.668	1.663417476	0.553805774	1.241176471	32	27	16	4261
C2.8_ETH4261	2023	C2-8	C2-8	1831	3.03	2.854	38.0952381	5.884	1.087238095	0.485044188	0.941914191	49	29	17	4261
C2.8_ETH4261	2024	C2-8	C2-8	6052	2.23	5.1	39.82300885	7.33	2.030973451	0.695770805	2.286995516	13	10	1	4261
